Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","032","Argentina","5510","Production","0111","Wheat","1996","1996","t","15913600","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0111","Wheat","1997","1997","t","14800230","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0111","Wheat","1998","1998","t","12443000","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0111","Wheat","1999","1999","t","15302560","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0111","Wheat","2000","2000","t","15959352","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0111","Wheat","2001","2001","t","15291660","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0111","Wheat","2002","2002","t","12301442","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0111","Wheat","2003","2003","t","14562955","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0111","Wheat","2004","2004","t","15925025","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0111","Wheat","2005","2005","t","12593396","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0111","Wheat","2006","2006","t","14547960","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0111","Wheat","2007","2007","t","16354091","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0111","Wheat","2008","2008","t","8376452","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0111","Wheat","2009","2009","t","9023139","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0111","Wheat","2010","2010","t","15875653","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0111","Wheat","2011","2011","t","14500519","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0111","Wheat","2012","2012","t","8023996","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0111","Wheat","2013","2013","t","9188339","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0111","Wheat","2014","2014","t","13930078","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0111","Wheat","2015","2015","t","11314952","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0111","Wheat","2016","2016","t","18395106","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0111","Wheat","2017","2017","t","18518045","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0111","Wheat","2018","2018","t","19459727","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0111","Wheat","2019","2019","t","19776942","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0111","Wheat","2020","2020","t","17644277","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0111","Wheat","2021","2021","t","22150287","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0111","Wheat","2022","2022","t","12555860","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0111","Wheat","2023","2023","t","15853154","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0111","Wheat","2024","2024","t","18510280","A","Official figure",""
